18 November 2018 01:50:17 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.25        -0.59854       0.0825525     0.000349263        0.060416        0.028922        0.059712        0.029776        0.059696       0.0297947       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957
      0.26       -0.629502       0.0868732     0.000121766       0.0627509       0.0315518        0.061949       0.0325313         0.06193       0.0325536       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297
      0.27       -0.660898       0.0912862    -0.000148114       0.0650805       0.0343193       0.0641711       0.0354377       0.0641487       0.0354642       0.0641482       0.0354647       0.0641482       0.0354647       0.0641482       0.0354647       0.0641482       0.0354647       0.0641482       0.0354647       0.0641482
      0.28       -0.692693       0.0957927    -0.000463082       0.0674049       0.0372277       0.0663778       0.0384994       0.0663515       0.0385307        0.066351       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509
      0.29       -0.724851        0.100394    -0.000825818       0.0697242       0.0402801       0.0685687       0.0417204        0.068538       0.0417572       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373
       0.3       -0.757329         0.10509     -0.00123888       0.0720386       0.0434797       0.0707434       0.0451051       0.0707076       0.0451481       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069
      0.31       -0.790082        0.109882      -0.0017049       0.0743483       0.0468298       0.0729014       0.0486578         0.07286       0.0487079       0.0728591        0.048709       0.0728591        0.048709       0.0728591        0.048709       0.0728591        0.048709       0.0728591        0.048709       0.0728591
      0.32        -0.82306        0.114771     -0.00222627       0.0766535       0.0503336       0.0750423        0.052383       0.0749945        0.052441       0.0749934       0.0524423       0.0749934       0.0524423       0.0749934       0.0524423       0.0749934       0.0524423       0.0749934       0.0524423       0.0749934
      0.33        -0.85621        0.119757     -0.00280527       0.0789544       0.0539946       0.0771655       0.0562852       0.0771106       0.0563522       0.0771093       0.0563538       0.0771093       0.0563538       0.0771093       0.0563538       0.0771093       0.0563538       0.0771093       0.0563538       0.0771093
      0.34       -0.889474        0.124841      -0.0034441       0.0812512       0.0578161       0.0792706       0.0603692       0.0792078       0.0604463       0.0792063       0.0604481       0.0792062       0.0604482       0.0792062       0.0604482       0.0792062       0.0604482       0.0792062       0.0604482       0.0792062
      0.35       -0.922793        0.130021     -0.00414478       0.0835441       0.0618017       0.0813571       0.0646397       0.0812855       0.0647281       0.0812837       0.0647303       0.0812837       0.0647303       0.0812837       0.0647303       0.0812837       0.0647303       0.0812837       0.0647303       0.0812837
      0.36       -0.956103        0.135299     -0.00490917       0.0858333        0.065955       0.0834245       0.0691017       0.0833432       0.0692027        0.083341       0.0692052        0.083341       0.0692053        0.083341       0.0692053        0.083341       0.0692053        0.083341       0.0692053        0.083341
      0.37       -0.989339        0.140674     -0.00573896       0.0881191       0.0702795       0.0854723       0.0737602       0.0853802       0.0738751       0.0853777       0.0738781       0.0853776       0.0738782       0.0853776       0.0738782       0.0853776       0.0738782       0.0853776       0.0738782       0.0853776
      0.38        -1.02243        0.146144     -0.00663564       0.0904017        0.074779          0.0875       0.0786202       0.0873959       0.0787508        0.087393       0.0787543       0.0873929       0.0787543       0.0873929       0.0787543       0.0873929       0.0787543       0.0873929       0.0787543       0.0873929
      0.39        -1.05532         0.15171     -0.00760049       0.0926813       0.0794572       0.0895069       0.0836871       0.0893897       0.0838349       0.0893864        0.083839       0.0893863       0.0838391       0.0893863       0.0838391       0.0893863       0.0838391       0.0893863       0.0838391       0.0893863
       0.4        -1.08792         0.15737     -0.00863462       0.0949581       0.0843179       0.0914927       0.0889663        0.091361       0.0891331       0.0913571       0.0891378       0.0913571       0.0891379       0.0913571       0.0891379       0.0913571       0.0891379       0.0913571       0.0891379       0.0913571
      0.41        -1.12017        0.163123     -0.00973892       0.0972325       0.0893649       0.0934567        0.094463       0.0933091       0.0946509       0.0933047       0.0946564       0.0933046       0.0946565       0.0933046       0.0946565       0.0933046       0.0946565       0.0933046       0.0946565       0.0933046
      0.42        -1.15201        0.168967       -0.010914       0.0995046       0.0946023       0.0953983        0.100183       0.0952334        0.100394       0.0952283          0.1004       0.0952282        0.100401       0.0952282        0.100401       0.0952282        0.100401       0.0952282        0.100401       0.0952282
      0.43        -1.18336        0.174901      -0.0121602        0.101775        0.100034        0.097317        0.106132       0.0971331        0.106369       0.0971273        0.106376       0.0971271        0.106376       0.0971271        0.106376       0.0971271        0.106376       0.0971271        0.106376       0.0971271
      0.44        -1.21415        0.180923      -0.0134779        0.104043        0.105664       0.0992122        0.112316       0.0990075         0.11258       0.0990009        0.112588       0.0990007        0.112589       0.0990007        0.112589       0.0990007        0.112589       0.0990007        0.112589       0.0990007
      0.45        -1.24433         0.18703      -0.0148668         0.10631        0.111497        0.101083         0.11874        0.100856        0.119035        0.100848        0.119045        0.100848        0.119045        0.100848        0.119045        0.100848        0.119045        0.100848        0.119045        0.100848
      0.46        -1.27384         0.19322      -0.0163269        0.108575        0.117536         0.10293        0.125411        0.102678         0.12574        0.102669         0.12575        0.102669        0.125751        0.102669        0.125751        0.102669        0.125751        0.102669        0.125751        0.102669
      0.47        -1.30261        0.199491      -0.0178575         0.11084        0.123786         0.10475        0.132334        0.104472          0.1327        0.104462        0.132712        0.104462        0.132712        0.104462        0.132712        0.104462        0.132712        0.104462        0.132712        0.104462
      0.48         -1.3306        0.205839      -0.0194583        0.113103        0.130251        0.106545        0.139517        0.106238        0.139922        0.106227        0.139936        0.106227        0.139937        0.106227        0.139937        0.106227        0.139937        0.106227        0.139937        0.106227
      0.49        -1.35776        0.212263       -0.021128        0.115366        0.136936        0.108314        0.146965        0.107975        0.147413        0.107963        0.147429        0.107962         0.14743        0.107962         0.14743        0.107962         0.14743        0.107962         0.14743        0.107962
