18 November 2018 01:39:16 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.25       -0.569635       0.0818331       0.0592159       0.0589759       0.0289035       0.0597123       0.0298148       0.0596954       0.0297947       0.0596957       0.0297951       0.0596957       0.0297953       0.0596957       0.0298036       0.0596955        0.030059       0.0596888       0.0345302       0.0595009
      0.26        -0.59785        0.086055       0.0649577       0.0611089       0.0315297       0.0619493       0.0325776       0.0619293       0.0325536       0.0619297        0.032554       0.0619297       0.0325543       0.0619297       0.0325638       0.0619295       0.0328429       0.0619219       0.0375819       0.0617188
      0.27       -0.626366       0.0903601       0.0710452       0.0632166       0.0342931       0.0641715       0.0354928       0.0641478       0.0354642       0.0641482       0.0354647       0.0641482        0.035465       0.0641482       0.0354759        0.064148       0.0357803       0.0641395       0.0408259       0.0639204
      0.28       -0.655156       0.0947491       0.0774892       0.0652977       0.0371967       0.0663783       0.0385645       0.0663504       0.0385307        0.066351       0.0385313       0.0663509       0.0385317       0.0663509       0.0385439       0.0663507       0.0388753       0.0663411       0.0442344       0.0661051
      0.29       -0.684188       0.0992226        0.084301       0.0673513       0.0402436       0.0685694       0.0417971       0.0685366       0.0417572       0.0685373        0.041758       0.0685373       0.0417584       0.0685373       0.0417722        0.068537       0.0421325       0.0685263       0.0478304       0.0682724
       0.3       -0.713426        0.103781       0.0914918       0.0693761        0.043437       0.0707442       0.0451948        0.070706       0.0451481       0.0707069        0.045149       0.0707069       0.0451495       0.0707068        0.045165       0.0707065       0.0455563       0.0706946       0.0516456       0.0704216
      0.31       -0.742834        0.108425       0.0990731        0.071371       0.0467801       0.0729023       0.0487624       0.0728581       0.0487078       0.0728591        0.048709        0.072859       0.0487095        0.072859       0.0487269       0.0728586       0.0491514       0.0728454       0.0556249        0.072552
      0.32       -0.772371        0.113155        0.107056       0.0733346       0.0502759       0.0750434       0.0525044       0.0749922        0.052441       0.0749934       0.0524423       0.0749934        0.052443       0.0749934       0.0524624       0.0749929       0.0529226       0.0749782       0.0599142       0.0746631
      0.33       -0.801995        0.117971        0.115454       0.0752657       0.0539279       0.0771668       0.0564256       0.0771079       0.0563522       0.0771093       0.0563538       0.0771093       0.0563545       0.0771093       0.0563761       0.0771087       0.0568748       0.0770925       0.0643195        0.076754
      0.34        -0.83166        0.122873        0.124276        0.077163       0.0577394       0.0792721       0.0605309       0.0792046       0.0604462       0.0792063       0.0604481       0.0792062        0.060449       0.0792062        0.060473       0.0792056       0.0610132       0.0791877        0.069084        0.078824
      0.35        -0.86132         0.12786        0.133536       0.0790252       0.0617137       0.0813589       0.0648253       0.0812817        0.064728       0.0812837       0.0647303       0.0812837       0.0647312       0.0812837       0.0647579        0.081283       0.0653429       0.0812632       0.0740408       0.0808724
      0.36       -0.890926        0.132933        0.143244       0.0808509       0.0658543       0.0834266        0.069314       0.0833387       0.0692025        0.083341       0.0692052        0.083341       0.0692063        0.083341       0.0692359       0.0833402       0.0698693       0.0833185       0.0793383       0.0828983
      0.37       -0.920428         0.13809        0.153413       0.0826386       0.0701648       0.0854748       0.0740023        0.085375        0.073875       0.0853777       0.0738781       0.0853776       0.0738794       0.0853776       0.0739121       0.0853767       0.0745979       0.0853529       0.0848536       0.0849008
      0.38       -0.949773        0.143332        0.164055       0.0843869       0.0746486       0.0875028       0.0788955       0.0873898       0.0787506        0.087393       0.0787543       0.0873929       0.0787557       0.0873929       0.0787918       0.0873919       0.0795345       0.0873657       0.0907258       0.0868791
      0.39        -0.97891        0.148658        0.175181       0.0860943       0.0793094       0.0895102       0.0839993       0.0893827       0.0838347       0.0893864        0.083839       0.0893863       0.0838406       0.0893862       0.0838804       0.0893851       0.0846849       0.0893565       0.0968115       0.0888322
       0.4        -1.00778        0.154065        0.186803       0.0877593       0.0841508       0.0914965       0.0893192       0.0913529       0.0891328       0.0913572       0.0891378       0.0913571       0.0891396        0.091357       0.0891835       0.0913558       0.0900551       0.0913244        0.103277        0.090759
      0.41        -1.03635        0.159554        0.198931       0.0893804       0.0891766       0.0934611       0.0948611       0.0932998       0.0946506       0.0933047       0.0946564       0.0933046       0.0946584       0.0933045       0.0947067       0.0933031       0.0956513       0.0932688        0.110063       0.0926587
      0.42        -1.06454        0.165123        0.211579       0.0909559       0.0943906       0.0954034        0.100631       0.0952227        0.100394       0.0952283          0.1004       0.0952282        0.100403       0.0952281        0.100456       0.0952265         0.10148        0.095189        0.117259       0.0945301
      0.43        -1.09231         0.17077        0.224755       0.0924842       0.0997965       0.0973228        0.106635       0.0971208        0.106368       0.0971273        0.106376       0.0971271        0.106378       0.0971271        0.106437       0.0971253        0.107547       0.0970844        0.124783        0.096372
